glass_forming_category,measurements,composition,source,data,id,D_max,dT_x,system
None,['D_max'],Al15Mg70Zn15,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1753,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al10Mg80Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1752,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al5Mg80Zn15,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1751,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al0Mg85Zn15,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1750,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al0Mg80Zn20,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1749,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al20Mg60Zn20,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1762,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al0Mg55Zn45,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1748,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al30Mg40Zn30,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1763,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al30Mg50Zn20,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1764,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al40Mg40Zn20,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1765,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al10Mg80Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1774,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al40Mg50Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1773,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al30Mg60Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1772,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al10Mg85Zn5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1771,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al5Mg90Zn5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1770,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al5Mg85Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1769,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al0Mg95Zn5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1768,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al0Mg90Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1767,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al50Mg40Zn10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},1766,0.0,,"{'Mg', 'Al', 'Zn'}"
None,['D_max'],Al88Co12Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},703,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co11Ni1,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},702,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co10Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},701,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co9Ni3,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},700,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co8Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},699,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co7Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},698,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co6Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},697,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co3Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},696,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co2Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},695,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co1Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},704,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co1Ni11,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},694,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co0Ni12,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},693,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al87Co5Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},692,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al87Co4Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},691,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al87Co3Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},690,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co14Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},689,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co5Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},688,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co3Ni11,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},687,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co2Ni12,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},686,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co1Ni13,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},685,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co0Ni14,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},684,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co2Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},705,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co4Ni7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},707,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co5Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},733,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co3Ni11,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},732,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co2Ni12,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},731,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co1Ni13,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},730,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co0Ni14,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},729,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al85Co10Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},728,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al85Co5Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},727,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al85Co1Ni14,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},726,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al84Co8Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},725,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co6Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},724,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co8Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},723,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co6Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},722,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co3Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},706,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co4Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},721,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co0Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},719,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al91Co1Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},717,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co10Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},716,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co8Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},715,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co6Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},714,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co5Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},713,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co4Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},712,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co2Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},711,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co0Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},710,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co6Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},709,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co5Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},708,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co2Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},720,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al86Co14Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},734,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al85Co10Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},683,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al85Co1Ni14,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},681,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al85Co5Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},682,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al84Co8Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},680,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al87Co3Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},735,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al91Co2Ni7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},718,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al87Co5Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},737,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al98Co2Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},785,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al98Co0Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},784,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al96Co4Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},783,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al96Co2Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},782,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al96Co0Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},781,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co4Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},780,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co2Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},779,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co0Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},778,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al98Co2Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},777,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al98Co0Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},776,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al96Co4Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},775,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al96Co2Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},774,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al96Co0Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},773,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co4Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},772,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al87Co4Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},736,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co2Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},771,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co0Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},770,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al94Co6Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},769,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co8Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},768,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co6Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},767,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co4Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},766,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co2Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},765,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al91Co2Ni7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},763,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co5Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},753,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co4Ni7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},752,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co3Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},751,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co6Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},754,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co10Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},746,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co11Ni1,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},747,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al92Co0Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},764,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co12Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},748,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co1Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},749,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al89Co2Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},750,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co0Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},755,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co9Ni3,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},745,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co7Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},743,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co2Ni10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},740,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co8Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},744,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co1Ni11,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},739,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co0Ni12,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},738,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co10Ni0,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},761,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co6Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},742,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co8Ni2,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},760,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co6Ni4,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},759,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co5Ni5,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},758,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co4Ni6,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},757,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al90Co2Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},756,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al91Co1Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},762,0.0,,"{'Co', 'Al', 'Ni'}"
None,['D_max'],Al88Co3Ni9,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.0},741,0.0,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al10Mg75Zn15,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1747,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al10Mg70Zn20,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1746,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al10Mg65Zn25,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1745,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al5Mg75Zn20,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1744,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al5Mg70Zn25,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1743,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al5Mg65Zn30,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1742,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al5Mg60Zn35,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1741,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al5Mg50Zn45,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1740,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al0Mg75Zn25,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1739,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al0Mg70Zn30,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1738,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al0Mg65Zn35,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1737,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al0Mg60Zn40,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1736,0.2,,"{'Mg', 'Al', 'Zn'}"
Ribbon,['D_max'],Al63Fe12Si25,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1264,0.2,,"{'Si', 'Al', 'Fe'}"
Ribbon,['D_max'],Al52Fe23Si25,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1263,0.2,,"{'Si', 'Al', 'Fe'}"
Ribbon,['D_max'],Al5Fe85Si10,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1257,0.2,,"{'Si', 'Al', 'Fe'}"
Ribbon,['D_max'],Al88Co5Ni7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},679,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al88Co4Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},678,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al87Co2Ni11,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},677,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al87Co1Ni12,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},676,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al88Co5Ni7,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},675,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al88Co4Ni8,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},674,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al87Co1Ni12,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},673,0.2,,"{'Co', 'Al', 'Ni'}"
Ribbon,['D_max'],Al0Cu33Zr67,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1100,0.2,,"{'Zr', 'Al', 'Cu'}"
Ribbon,['D_max'],Al7.5Cu27.5Zr65,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1099,0.2,,"{'Zr', 'Al', 'Cu'}"
Ribbon,['D_max'],Al10Cu25Zr65,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1098,0.2,,"{'Zr', 'Al', 'Cu'}"
Ribbon,['D_max'],Al15Cu25Zr60,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1097,0.2,,"{'Zr', 'Al', 'Cu'}"
Ribbon,['D_max'],Al20Cu25Zr55,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1096,0.2,,"{'Zr', 'Al', 'Cu'}"
Ribbon,['D_max'],Al0Cu60Zr40,['http://link.springer.com/book/10.1007%2Fb58222'],{'D_max': 0.2},1095,0.2,,"{'Zr', 'Al', 'Cu'}"
